,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
36,4.91,787.0,0.256,0.724,-11.46,-85.5,164.0,86.8,1.0,5.24,1.45,678.0,1.95,10.8,0.419753086419753
37,3.86,619.0,0.262,0.759,9.57,-1.7,185.0,88.5,18.2,3.91,1.24,733.0,3.03,24.0,0.5838509316770186
38,4.92,781.0,0.275,0.794,-6.79,-46.1,204.0,88.5,13.1,4.38,1.45,805.0,2.24,20.9,0.4629629629629629
39,4.24,673.0,0.267,0.769,3.57,44.0,211.0,88.9,18.5,4.16,1.32,719.0,2.67,19.9,0.5341614906832298
40,4.06,663.0,0.247,0.735,4.91,8.2,198.0,88.7,17.6,3.85,1.29,689.0,3.08,24.6,0.5185185185185185
41,4.21,674.0,0.261,0.712,4.62,-79.6,147.0,88.4,12.1,4.42,1.35,640.0,2.49,11.8,0.5
42,4.28,676.0,0.26,0.726,-8.29,-10.6,156.0,88.4,8.0,4.62,1.39,686.0,2.28,16.6,0.4567901234567901
43,3.7,598.0,0.249,0.728,7.11,-22.2,189.0,89.3,20.0,3.61,1.19,680.0,3.25,21.5,0.5617283950617284
44,4.05,646.0,0.263,0.716,0.81,-42.5,128.0,88.4,15.5,3.97,1.36,626.0,2.32,19.8,0.4906832298136646
45,4.1,653.0,0.244,0.729,2.37,-60.4,194.0,88.6,11.1,4.37,1.38,641.0,2.21,15.4,0.4506172839506173
46,5.09,816.0,0.251,0.738,-12.27,-36.3,200.0,88.5,10.7,4.57,1.45,690.0,2.49,15.8,0.3641975308641975
47,3.58,576.0,0.246,0.733,10.41,-9.1,218.0,88.2,21.5,3.57,1.27,649.0,3.18,21.6,0.5370370370370371
48,4.16,661.0,0.252,0.72,5.36,-60.3,183.0,88.1,18.7,4.2,1.26,647.0,3.14,14.9,0.5185185185185185
49,4.51,719.0,0.246,0.699,-7.09,-78.3,169.0,87.8,13.7,4.24,1.34,634.0,2.56,4.3,0.4259259259259259
50,4.64,741.0,0.24,0.685,-1.51,-138.4,161.0,88.3,13.9,4.34,1.35,575.0,2.79,7.2,0.4382716049382716
51,4.22,681.0,0.257,0.734,-2.94,-19.8,153.0,88.0,9.0,4.3,1.4,696.0,2.31,22.4,0.484472049689441
52,4.44,711.0,0.235,0.689,-5.42,-117.1,177.0,87.4,8.6,4.4,1.38,654.0,2.15,9.7,0.419753086419753
