,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
184,-4.48,-49.4,40.0,0.237,766.0,92.0,67.2,88.7,0.294,-0.81,15.6,10.6,36.1,17.2,9.6,8.4,64.3,83.6,0.4382716049382716
185,7.7,60.5,24.0,0.256,581.0,78.0,68.3,89.2,0.288,-2.87,14.6,7.1,32.7,12.8,8.3,9.6,58.2,85.6,0.5740740740740741
186,6.2,-25.2,35.0,0.249,703.0,105.0,69.2,88.4,0.297,-4.38,15.5,8.8,35.6,14.8,10.0,9.0,61.1,85.5,0.5123456790123457
187,3.71,-49.6,20.0,0.238,679.0,64.0,68.8,88.9,0.282,-0.66,14.1,10.9,36.5,14.7,8.7,7.7,61.8,84.2,0.4938271604938271
188,1.87,-145.9,48.0,0.249,749.0,58.0,70.5,87.7,0.302,-1.47,13.0,8.8,35.0,14.3,8.9,8.2,60.5,85.1,0.4596273291925465
189,4.51,-42.4,17.0,0.242,681.0,44.0,69.3,88.4,0.289,-0.91,12.8,10.4,35.9,13.2,9.3,8.2,66.1,83.2,0.4753086419753086
190,7.33,110.6,9.0,0.267,610.0,64.0,66.7,89.5,0.275,-0.85,13.3,10.3,37.7,13.6,9.1,9.0,59.7,88.0,0.5864197530864198
191,-2.74,-85.6,31.0,0.249,731.0,55.0,72.1,89.2,0.301,2.67,10.9,9.0,36.0,12.6,9.6,7.0,61.6,86.0,0.4567901234567901
192,-0.48,-50.5,30.0,0.245,741.0,59.0,67.4,87.9,0.305,-1.32,13.3,10.6,35.4,13.5,9.6,7.7,62.1,85.4,0.4753086419753086
193,20.23,39.5,32.0,0.244,489.0,104.0,68.6,89.5,0.26,-1.93,14.6,8.1,39.7,11.8,8.2,9.8,58.3,85.0,0.654320987654321
194,-1.92,-131.1,30.0,0.233,622.0,65.0,67.3,88.1,0.29,0.69,12.1,11.1,34.3,12.0,8.8,7.6,62.0,84.0,0.4135802469135802
195,16.91,-60.7,25.0,0.233,558.0,88.0,68.0,88.4,0.275,1.41,13.8,9.3,35.9,13.3,9.0,9.6,60.0,84.1,0.5864197530864198
196,-1.77,17.5,7.0,0.241,762.0,70.0,69.4,89.9,0.29,-2.77,15.2,10.0,37.0,15.0,8.0,8.6,64.4,84.3,0.4506172839506173
197,3.43,-28.2,34.0,0.239,597.0,94.0,71.5,88.4,0.287,-3.83,13.2,10.1,35.0,13.9,8.2,8.5,59.8,84.1,0.4753086419753086
198,9.29,10.6,10.0,0.237,600.0,63.0,66.9,89.9,0.284,2.44,15.5,9.8,37.1,12.9,8.2,10.2,61.0,83.0,0.5679012345679012
199,1.43,22.6,17.0,0.238,640.0,98.0,69.7,89.0,0.29,1.72,12.5,10.5,39.0,11.8,7.2,8.9,65.6,85.0,0.5308641975308642
200,0.4,-53.8,47.0,0.24,692.0,67.0,68.6,88.4,0.296,3.2,14.3,10.9,35.0,14.7,8.4,9.3,65.3,83.8,0.5061728395061729
201,-10.24,-139.4,31.0,0.236,788.0,49.0,68.4,87.5,0.302,2.99,9.2,7.6,33.7,13.8,9.9,8.8,62.8,87.0,0.3765432098765432
202,1.95,-18.5,36.0,0.242,651.0,61.0,67.2,89.4,0.287,-3.61,12.8,12.2,34.5,14.3,8.5,9.6,59.8,86.2,0.4876543209876543
203,6.22,-46.8,9.0,0.226,688.0,72.0,68.4,87.9,0.288,8.71,13.1,11.8,39.3,12.1,7.9,8.9,65.4,83.9,0.5555555555555556
204,16.58,52.4,36.0,0.249,525.0,64.0,68.8,88.7,0.279,0.66,15.6,8.3,38.5,10.9,6.9,9.7,61.0,84.6,0.6604938271604939
205,7.73,-25.1,40.0,0.244,629.0,86.0,68.2,88.7,0.272,-1.43,12.6,9.8,38.9,10.8,10.1,8.0,64.6,84.4,0.5555555555555556
206,10.31,69.8,6.0,0.243,594.0,72.0,70.5,88.9,0.281,-0.41,14.4,10.9,38.6,12.3,7.3,9.4,62.0,81.7,0.6172839506172839
207,-4.72,-122.4,16.0,0.232,760.0,58.0,68.8,87.9,0.288,-1.77,12.0,9.2,34.6,14.9,8.4,7.3,65.7,83.9,0.3703703703703703
208,8.04,92.2,10.0,0.266,610.0,51.0,72.5,90.3,0.284,-5.31,15.8,10.3,38.8,14.5,8.0,8.2,62.5,86.7,0.5617283950617284
209,-11.19,10.1,38.0,0.258,747.0,84.0,68.0,88.6,0.289,-4.33,14.5,8.5,30.8,16.0,9.0,9.4,63.0,86.0,0.4012345679012346
